Running 3PK...
SOLNP+--> The user does not provided gradient function of cost in the fun structure. 
SOLNP+--> SOLNP uses zero-order method instead.
SOLNP+--> Iteration 1: obj = 4.2158e+03, infeasibility = 0.0000e+00
SOLNP+--> Iteration 193: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 194: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 195: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 196: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 197: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 198: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 199: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 200: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 201: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 202: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 203: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 204: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 205: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 206: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 207: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 208: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 209: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 210: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 211: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 212: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 213: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 214: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 215: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 216: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 217: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 218: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 219: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 220: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 221: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 222: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 223: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 224: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 225: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 226: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 227: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 228: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 229: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 230: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 231: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 232: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 233: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 234: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 235: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 236: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 237: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 238: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 239: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 240: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 241: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 242: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 243: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 244: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 245: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 246: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 247: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 248: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 249: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 250: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 251: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 252: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 253: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 254: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 255: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 256: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 257: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 258: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 259: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 260: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 261: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 262: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 263: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 264: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 265: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 266: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 267: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 268: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 269: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 270: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 271: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 272: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 273: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 274: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 275: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 276: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 277: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 278: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 279: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 280: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 281: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 282: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 283: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 284: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 285: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 286: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 287: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 288: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 289: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 290: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 291: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 292: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 293: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 294: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 295: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 296: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 297: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 298: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 299: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 300: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 301: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 302: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 303: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 304: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 305: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 306: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 307: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 308: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 309: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 310: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 311: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 312: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 313: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 314: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 315: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 316: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 317: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 318: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 319: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 320: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 321: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 322: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 323: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 324: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 325: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 326: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 327: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 328: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 329: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 330: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 331: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 332: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 333: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 334: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 335: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 336: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 337: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 338: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 339: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 340: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 341: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 342: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 343: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 344: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 345: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 346: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 347: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 348: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 349: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 350: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 351: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 352: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 353: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 354: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 355: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 356: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 357: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 358: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 359: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 360: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 361: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 362: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 363: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 364: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 365: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 366: obj = inf, infeasibility = 1.9718e-03
SOLNP+--> Iteration 367: obj = inf, infeasibility = 1.9718e-03
